ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
286,The Hills Have Eyes,1977,90,6.3,39000,Wes Craven,Wes Craven,Susan Lanier|Robert Houston|John Steadman,Horror|Thriller,325000,25000000
287,Invasion of the Body Snatchers,1978,115,7.4,70000,Philip Kaufman,"W.D. Richter, Jack Finney",Donald Sutherland|Brooke Adams|Jeff Goldblum,Horror|Sci-Fi,3500000,24946533
288,It Lives Again,1978,91,5.2,2600,Larry Cohen,Larry Cohen,Frederic Forrest|Kathleen Lloyd|John P. Ryan,Horror|Sci-Fi,750000,1500000
289,Jaws 2,1978,116,5.8,85000,Jeannot Szwarc,"Peter Benchley, Carl Gottlieb, Howard Sackler",Roy Scheider|Lorraine Gary|Murray Hamilton,Adventure|Horror|Thriller,20000000,187884000
290,Piranha,1978,94,5.9,25000,Joe Dante,"Richard Robinson, John Sayles",Bradford Dillman|Heather Menzies-Urich|Kevin McCarthy,Comedy|Horror|Sci-Fi,660000,16000000
291,The Swarm,1978,116,4.5,8600,Irwin Allen,"Arthur Herzog III, Stirling Silliphant",Michael Caine|Katharine Ross|Richard Widmark,Horror|Thriller,21000000,7700000
292,Alien,1979,117,8.5,951000,Ridley Scott,"Dan O'Bannon, Ronald Shusett",Sigourney Weaver|Tom Skerritt|John Hurt,Horror|Sci-Fi,11000000,104931801
293,The Amityville Horror,1979,117,6.2,45000,Stuart Rosenberg,"Sandor Stern, Jay Anson, George Lutz",James Brolin|Margot Kidder|Rod Steiger,Horror,4700000,86432000
294,The Brood,1979,92,6.8,34000,David Cronenberg,David Cronenberg,Oliver Reed|Samantha Eggar|Art Hindle,Horror|Sci-Fi,1355000,5000000
295,Cannibal Holocaust,1980,95,5.8,61000,Ruggero Deodato,"Gianfranco Clerici, Giorgio Stegani",Robert Kerman|Francesca Ciardi|Perry Pirkanen,Adventure|Horror,100000,2000000
296,The Legacy,1978,102,5.7,3400,Richard Marquand,"Jimmy Sangster, Patrick Tilley, Paul Wheeler",Katharine Ross|Sam Elliott|John Standing,Horror,2500000,11364985
297,Phantasm,1979,89,6.6,41000,Don Coscarelli,Don Coscarelli,A. Michael Baldwin|Bill Thornbury|Reggie Bannister,Horror|Sci-Fi,300000,11988469
298,Prophecy,1979,102,5.5,6100,John Frankenheimer,David Seltzer,Talia Shire|Robert Foxworth|Armand Assante,Horror|Sci-Fi|Thriller,12000000,54000000
299,Altered States,1980,102,6.9,39000,Ken Russell,Paddy Chayefsky,William Hurt|Blair Brown|Bob Balaban,Horror|Sci-Fi|Thriller,15000000,19853892
300,The Changeling,1980,107,7.1,40000,Peter Medak,"Russell Hunter, William Gray, Diana Maddox",George C. Scott|Trish Van Devere|Melvyn Douglas,Horror|Mystery,7600000,12000000
301,The Fog,1980,89,6.8,83000,John Carpenter,"John Carpenter, Debra Hill",Adrienne Barbeau|Jamie Lee Curtis|Janet Leigh,Horror|Thriller,1000000,21448830
302,Friday the 13th,1980,95,6.4,157000,Sean S. Cunningham,"Victor Miller, Ron Kurz",Betsy Palmer|Adrienne King|Jeannine Taylor,Horror|Mystery|Thriller,550000,59754601
303,He Knows You're Alone,1980,94,5.0,4200,Armand Mastroianni,Scott Parker,Don Scardino|Caitlin O'Heaney|Elizabeth Kemp,Horror|Thriller,300000,4900000
304,Maniac,1980,87,6.4,20000,William Lustig,"C.A. Rosenberg, Joe Spinell",Joe Spinell|Caroline Munro|Abigail Clayton,Crime|Drama|Horror,350000,10000000
305,Motel Hell,1980,101,6.0,14000,Kevin Connor,"Robert Jaffe, Steven-Charles Jaffe",Rory Calhoun|Paul Linke|Nancy Parsons,Comedy|Horror|Thriller,3000000,6342668
306,Prom Night,1980,92,5.3,21000,Paul Lynch,"William Gray, Robert Guza Jr.",Leslie Nielsen|Jamie Lee Curtis|Casey Stevens,Horror|Mystery|Thriller,1500000,14796236
307,Scanners,1981,103,6.7,62000,David Cronenberg,David Cronenberg,Jennifer O'Neill|Stephen Lack|Patrick McGoohan,Horror|Sci-Fi|Thriller,4100000,14225876
308,The Shining,1980,146,8.4,1100000,Stanley Kubrick,"Stephen King, Stanley Kubrick, Diane Johnson",Jack Nicholson|Shelley Duvall|Danny Lloyd,Drama|Horror,19000000,44781695
309,The Watcher in the Woods,1980,84,6.1,7100,"John Hough, Vincent McEveety","Brian Clemens, Harry Spalding, Rosemary Anne Sisson",Bette Davis|Lynn-Holly Johnson|Kyle Richards,Family|Horror|Mystery,9000000,5000000
310,An American Werewolf in London,1981,97,7.5,121000,John Landis,John Landis,David Naughton|Jenny Agutter|Joe Belcher,Comedy|Horror,10000000,31973249
311,Dead & Buried,1981,94,6.5,15000,Gary Sherman,"Jeff Millar, Alex Stern, Ronald Shusett",James Farentino|Melody Anderson|Jack Albertson,Horror|Mystery,350000,29612367
312,...E tu vivrai nel terrore! L'aldilà,1981,87,6.6,25000,Lucio Fulci,"Dardano Sacchetti, Giorgio Mariuzzo, Lucio Fulci",Catriona MacColl|David Warbeck|Cinzia Monreale,Horror,400000,123843
313,The Entity,1982,125,6.7,18000,Sidney J. Furie,Frank De Felitta,Barbara Hershey|Ron Silver|David Labiosa,Drama|Horror,9000000,13277558
314,Eyes of a Stranger,1981,84,5.9,3200,Ken Wiederhorn,"Ron Kurz, Eric L. Bloom",Lauren Tewes|Jennifer Jason Leigh|John DiSanti,Horror|Thriller,800000,1118634
315,The Fan,1981,95,5.7,2800,Ed Bianchi,"Bob Randall, Priscilla Chapman, John Hartwell",Lauren Bacall|James Garner|Michael Biehn,Drama|Horror|Thriller,10000000,3100000
316,Fear No Evil,1981,99,4.6,1700,Frank LaLoggia,Frank LaLoggia,Stefan Arngrim|Elizabeth Hoffman|Kathleen Rowe McAllen,Horror,1500000,3000000
317,The Final Conflict,1981,108,5.5,23000,Graham Baker,"Andrew Birkin, David Seltzer",Sam Neill|Rossano Brazzi|Don Gordon,Horror,5000000,20471382
318,Final Exam,1981,89,4.6,4600,Jimmy Huston,Jimmy Huston,Cecile Bagdadi|Joel S. Rice|Ralph Brown,Horror|Thriller,374000,3000000
319,Friday the 13th Part 2,1981,87,6.1,78000,Steve Miner,"Ron Kurz, Victor Miller, Sean S. Cunningham",Betsy Palmer|Amy Steel|John Furey,Horror|Mystery|Thriller,1250000,21722776
320,Halloween II,1981,92,6.5,102000,Rick Rosenthal,"John Carpenter, Debra Hill",Jamie Lee Curtis|Donald Pleasence|Charles Cyphers,Horror,2500000,25533818
321,The Hand,1981,104,5.5,6700,Oliver Stone,"Marc Brandel, Oliver Stone",Michael Caine|Andrea Marcovicci|Annie McEnroe,Drama|Horror|Thriller,6500000,566736
322,Happy Birthday to Me,1981,111,6.0,11000,J. Lee Thompson,"John C.W. Saxton, Peter Jobin, Timothy Bond",Melissa Sue Anderson|Glenn Ford|Lawrence Dane,Horror|Mystery|Thriller,3500000,10600000
323,The Howling,1981,91,6.5,40000,Joe Dante,"Gary Brandner, John Sayles, Terence H. Winkless",Dee Wallace|Patrick Macnee|Dennis Dugan,Horror,1000000,17985893
324,My Bloody Valentine,1981,90,6.2,25000,George Mihalka,"Stephen A. Miller, John Beaird",Paul Kelman|Lori Hallier|Neil Affleck,Horror|Mystery|Thriller,2200000,5672031
325,Possession,1981,124,7.3,43000,Andrzej Zulawski,"Andrzej Zulawski, Frederic Tuten",Isabelle Adjani|Sam Neill|Margit Carstensen,Drama|Horror,2400000,1200000
326,Quella villa accanto al cimitero,1981,86,6.1,16000,Lucio Fulci,"Elisa Briganti, Dardano Sacchetti, Giorgio Mariuzzo",Catriona MacColl|Paolo Malco|Ania Pieroni,Horror,786801,1845819
327,Visiting Hours,1982,105,5.7,4800,Jean-Claude Lord,Brian Taggert,Michael Ironside|Lee Grant|Linda Purl,Horror|Thriller,6000000,13258670
328,Wolfen,1981,115,6.3,11000,Michael Wadleigh,"Whitley Strieber, David Eyre, Michael Wadleigh",Albert Finney|Diane Venora|Edward James Olmos,Horror|Thriller,17000000,10626725
329,Amityville II: The Possession,1982,104,5.6,13000,Damiano Damiani,"Tommy Lee Wallace, Hans Holzer, Dardano Sacchetti",James Olson|Burt Young|Rutanya Alda,Horror,5000000,12534817
330,Cat People,1982,118,6.2,24000,Paul Schrader,"DeWitt Bodeen, Alan Ormsby, Paul Schrader",Nastassja Kinski|Malcolm McDowell|John Heard,Fantasy|Horror|Thriller,12500000,21000000
331,Creepshow,1982,120,6.8,53000,George A. Romero,Stephen King,Hal Holbrook|Leslie Nielsen|Adrienne Barbeau,Comedy|Fantasy|Horror,8000000,21028755
332,The Evil Dead,1981,85,7.4,232000,Sam Raimi,Sam Raimi,Bruce Campbell|Ellen Sandweiss|Richard DeManincor,Horror,350000,29612367
333,Friday the 13th Part III,1982,95,5.6,60000,Steve Miner,"Martin Kitrosser, Carol Watson, Victor Miller",Dana Kimmell|Tracie Savage|Richard Brooker,Horror|Thriller,2200000,36690067
334,Parasite,1982,85,4.0,3100,Charles Band,"Alan J. Adler, Michael Shoob, Frank Levering",Robert Glaudini|Demi Moore|Luca Bercovici,Horror|Sci-Fi,800000,7000000
335,Poltergeist,1982,114,7.3,180000,Tobe Hooper,"Steven Spielberg, Michael Grais, Mark Victor",JoBeth Williams|Heather O'Rourke|Craig T. Nelson,Horror|Thriller,10700000,122200000
336,Silent Rage,1982,100,5.4,6700,Michael Miller,"Joseph Fraley, Edward Di Lorenzo",Chuck Norris|Ron Silver|Steven Keats,Action|Crime|Horror,4500000,10500000
337,The Slumber Party Massacre,1982,77,5.6,18000,Amy Holden Jones,"Rita Mae Brown, Amy Holden Jones",Michele Michaels|Robin Stille|Michael Villella,Horror,220000,3600000
338,A Stranger Is Watching,1982,92,5.3,893,Sean S. Cunningham,"Mary Higgins Clark, Earl Mac Rauch, Victor Miller",Kate Mulgrew|Rip Torn|James Naughton,Crime|Horror|Thriller,3200000,2519559
339,The Thing,1982,109,8.2,467000,John Carpenter,"Bill Lancaster, John W. Campbell Jr.",Kurt Russell|Wilford Brimley|Keith David,Horror|Mystery|Sci-Fi,15000000,19629760
340,White Dog,1982,90,7.0,11000,Samuel Fuller,"Romain Gary, Samuel Fuller, Curtis Hanson",Kristy McNichol|Christa Lang|Vernon Weddle,Drama|Horror,8000000,46509
341,Amityville 3-D,1983,105,4.2,7500,Richard Fleischer,David Ambrose,Tony Roberts|Tess Harper|Robert Joy,Horror,6000000,6333135
342,Christine,1983,110,6.8,92000,John Carpenter,"Stephen King, Bill Phillips",Keith Gordon|John Stockwell|Alexandra Paul,Horror|Thriller,9700000,21200000
343,Cujo,1983,93,6.1,51000,Lewis Teague,"Stephen King, Don Carlos Dunaway, Barbara Turner",Dee Wallace|Daniel Hugh Kelly|Danny Pintauro,Horror|Thriller,5000000,21200000
344,The Dead Zone,1983,103,7.2,77000,David Cronenberg,"Stephen King, Jeffrey Boam",Christopher Walken|Brooke Adams|Tom Skerritt,Drama|Horror|Sci-Fi,10000000,20766616
345,Eyes of Fire,1983,86,6.3,2300,Avery Crounse,Avery Crounse,Dennis Lipscomb|Guy Boyd|Rebecca Stanley,Drama|Horror|Western,2600000,100000
346,Halloween III: Season of the Witch,1982,98,5.1,61000,Tommy Lee Wallace,"Tommy Lee Wallace, John Carpenter, Nigel Kneale",Tom Atkins|Stacey Nelkin|Dan O'Herlihy,Horror|Mystery|Sci-Fi,2500000,14400000
347,The Hunger,1983,97,6.6,29000,Tony Scott,"James Costigan, Michael Thomas, Whitley Strieber",Catherine Deneuve|David Bowie|Susan Sarandon,Drama|Horror,10000000,10200000
348,Jaws 3-D,1983,99,3.7,48000,Joe Alves,"Peter Benchley, Richard Matheson, Carl Gottlieb",Dennis Quaid|Bess Armstrong|Simon MacCorkindale,Adventure|Horror|Thriller,20500000,87987056
349,The Keep,1983,96,5.7,14000,Michael Mann,"F. Paul Wilson, Michael Mann",Scott Glenn|Ian McKellen|Alberta Watson,Drama|Fantasy|Horror,6000000,3661757
350,Psycho II,1983,113,6.6,31000,Richard Franklin,"Tom Holland, Robert Bloch",Anthony Perkins|Vera Miles|Meg Tilly,Crime|Horror|Mystery,5000000,34725000
351,Sleepaway Camp,1983,84,6.2,38000,Robert Hiltzik,Robert Hiltzik,Felissa Rose|Jonathan Tiersten|Karen Fields,Horror,350000,11000000
352,Twilight Zone: The Movie,1983,101,6.4,41000,"Joe Dante, John Landis, George Miller","John Landis, George Clayton Johnson, Richard Matheson",Dan Aykroyd|Albert Brooks|Vic Morrow,Horror|Sci-Fi,10000000,29450920
353,Videodrome,1983,87,7.2,103000,David Cronenberg,David Cronenberg,James Woods|Debbie Harry|Sonja Smits,Horror|Sci-Fi|Thriller,5952000,2120439
354,The Black Room,1982,88,4.9,615,"Elly Kenner, Norman Thaddeus Vane",Norman Thaddeus Vane,Stephen Knight|Cassandra Gava|Jimmy Stathis,Horror|Thriller,250000,2160000
355,C.H.U.D.,1984,88,5.6,14000,Douglas Cheek,"Parnell Hall, Shepard Abbott, Christopher Curry",John Heard|Daniel Stern|Christopher Curry,Horror|Sci-Fi,1250000,3412497
356,Children of the Corn,1984,92,5.6,57000,Fritz Kiersch,"Stephen King, George Goldsmith",Peter Horton|Linda Hamilton|R.G. Armstrong,Horror|Thriller,800000,14568989
357,The Company of Wolves,1984,95,6.6,18000,Neil Jordan,"Angela Carter, Neil Jordan, Charles Perrault",Sarah Patterson|Angela Lansbury|David Warner,Drama|Fantasy|Horror,2000000,4389334
358,Firestarter,1984,114,6.1,37000,Mark L. Lester,"Stanley Mann, Stephen King",Drew Barrymore|David Keith|Freddie Jones,Action|Horror|Sci-Fi,15000000,17080167
359,Friday the 13th: The Final Chapter,1984,91,6.0,59000,Joseph Zito,"Victor Miller, Ron Kurz, Martin Kitrosser",Erich Anderson|Judie Aronson|Peter Barton,Horror|Thriller,2200000,32981717
360,Gremlins,1984,106,7.3,248000,Joe Dante,Chris Columbus,Zach Galligan|Phoebe Cates|Hoyt Axton,Comedy|Fantasy|Horror,11000000,153083102
361,Impulse,1984,91,5.9,1700,Graham Baker,"Nicholas Kazan, Don Carlos Dunaway",Tim Matheson|Meg Tilly|Hume Cronyn,Horror|Mystery|Sci-Fi,10000000,2773433
362,Night of the Comet,1984,95,6.3,24000,Thom Eberhardt,Thom Eberhardt,Catherine Mary Stewart|Kelli Maroney|Robert Beltran,Comedy|Horror|Sci-Fi,3000000,14418922
363,A Nightmare on Elm Street,1984,91,7.4,263000,Wes Craven,Wes Craven,Heather Langenkamp|Johnny Depp|Robert Englund,Horror,1800000,57004513
364,Razorback,1984,95,6.0,7900,Russell Mulcahy,"Everett De Roche, Peter Brennan",Gregory Harrison|Arkie Whiteley|Bill Kerr,Horror|Thriller,5500000,801000
365,"Silent Night, Deadly Night",1984,79,5.8,19000,Charles E. Sellier Jr.,"Paul Caimi, Michael Hickey",Lilyan Chauvin|Gilmer McCormick|Toni Nero,Horror|Thriller,1065000,2491460
366,The Bride,1985,118,5.4,3600,Franc Roddam,"Lloyd Fonvielle, Mary Shelley",Sting|Jennifer Beals|Anthony Higgins,Fantasy|Horror|Romance,13000000,3558669
367,Cat's Eye,1985,94,6.3,28000,Lewis Teague,Stephen King,Drew Barrymore|James Woods|Alan King,Comedy|Horror|Thriller,7000000,13100000
368,Crimewave,1985,86,5.6,6700,Sam Raimi,"Ethan Coen, Joel Coen, Sam Raimi",Louise Lasser|Brion James|Paul L. Smith,Comedy|Crime|Horror,3000000,5101
369,Day of the Dead,1985,101,7.1,74000,George A. Romero,George A. Romero,Lori Cardille|Terry Alexander|Joseph Pilato,Horror|Thriller,3500000,34000000
370,Friday the 13th: A New Beginning,1985,92,4.7,44000,Danny Steinmann,"Martin Kitrosser, David Cohen, Danny Steinmann",Melanie Kinnaman|John Shepherd|Anthony Barrile,Horror|Mystery|Thriller,2200000,21930418
371,Fright Night,1985,106,7.1,79000,Tom Holland,Tom Holland,Chris Sarandon|William Ragsdale|Amanda Bearse,Horror,9000000,24922237
372,Lifeforce,1985,101,6.1,29000,Tobe Hooper,"Colin Wilson, Dan O'Bannon, Don Jakoby",Steve Railsback|Mathilda May|Peter Firth,Action|Horror|Mystery,25000000,11603545
373,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,87,5.4,77000,Jack Sholder,"David Chaskin, Wes Craven",Robert Englund|Mark Patton|Kim Myers,Horror,3000000,29999213
374,Once Bitten,1985,94,5.6,17000,Howard Storm,"Dimitri Villard, David Hines, Jeffrey Hause",Lauren Hutton|Jim Carrey|Karen Kopins,Comedy|Horror,3200000,10000000
375,A Polish Vampire in Burbank,1983,80,4.8,348,Mark Pirro,Mark Pirro,Mark Pirro|Lori Sutton|Bobbi Dorsch,Comedy|Horror,3000,500000
376,Re-Animator,1985,84,7.2,72000,Stuart Gordon,"H.P. Lovecraft, Dennis Paoli, William Norris",Jeffrey Combs|Bruce Abbott|Barbara Crampton,Comedy|Horror|Sci-Fi,900000,2023414
377,The Return of the Living Dead,1985,91,7.3,69000,Dan O'Bannon,"Rudy Ricci, John A. Russo, Russell Streiner",Clu Gulager|James Karen|Don Calfa,Comedy|Horror|Sci-Fi,4000000,14200000
378,Silver Bullet,1985,95,6.4,32000,Daniel Attias,Stephen King,Gary Busey|Everett McGill|Corey Haim,Horror,7000000,12400000
379,The Toxic Avenger,1984,82,6.2,32000,"Michael Herz, Lloyd Kaufman","Lloyd Kaufman, Joe Ritter, Gay Partington Terry",Andree Maranda|Mitch Cohen|Jennifer Babtist,Action|Comedy|Horror,500000,800000
380,Transylvania 6-5000,1985,93,4.9,8500,Rudy De Luca,Rudy De Luca,Jeff Goldblum|Joseph Bologna|Ed Begley Jr.,Comedy|Fantasy|Horror,3000000,7200000
381,Witchboard,1986,98,5.7,8300,Kevin Tenney,Kevin Tenney,Todd Allen|Tawny Kitaen|Stephen Nichols,Horror|Mystery|Thriller,2000000,7369373
382,Critters,1986,86,6.1,39000,Stephen Herek,"Domonic Muir, Stephen Herek, Don Keith Opper",Dee Wallace|M. Emmet Walsh|Billy Green Bush,Comedy|Horror|Sci-Fi,2000000,13167232
383,The Fly,1986,96,7.6,202000,David Cronenberg,"George Langelaan, Charles Edward Pogue, David Cronenberg",Jeff Goldblum|Geena Davis|John Getz,Drama|Horror|Sci-Fi,15000000,60629159
384,Jason Lives: Friday the 13th Part VI,1986,86,6.0,51000,Tom McLoughlin,"Tom McLoughlin, Victor Miller, Sean S. Cunningham",Thom Mathews|Jennifer Cooke|David Kagen,Horror|Thriller,3000000,19472525
385,From Beyond,1986,85,6.6,31000,Stuart Gordon,"H.P. Lovecraft, Brian Yuzna, Dennis Paoli",Jeffrey Combs|Barbara Crampton|Ted Sorel,Horror|Sci-Fi,4500000,1261000
386,House,1985,93,6.1,30000,Steve Miner,"Fred Dekker, Ethan Wiley",William Katt|Kay Lenz|George Wendt,Comedy|Fantasy|Horror,3000000,19444631
387,Invaders from Mars,1986,100,5.5,11000,Tobe Hooper,"Richard Blake, Dan O'Bannon, Don Jakoby",Karen Black|Hunter Carson|Timothy Bottoms,Horror|Sci-Fi,12000000,4884663
388,Little Shop of Horrors,1986,94,7.1,86000,Frank Oz,"Howard Ashman, Roger Corman, Charles B. Griffith",Rick Moranis|Ellen Greene|Vincent Gardenia,Comedy|Horror|Musical,25000000,38800000
389,Maximum Overdrive,1986,98,5.4,36000,Stephen King,Stephen King,Emilio Estevez|Pat Hingle|Laura Harrington,Action|Comedy|Horror,10000000,7400000
390,Night of the Creeps,1986,88,6.7,26000,Fred Dekker,Fred Dekker,Jason Lively|Tom Atkins|Steve Marshall,Comedy|Horror|Sci-Fi,5000000,591366
391,The Offspring,1987,99,5.8,3000,Jeff Burr,"C. Courtney Joyner, Darin Scott, Jeff Burr",Vincent Price|Clu Gulager|Terry Kiser,Action|Drama|Horror,1100000,1400000
392,The Outing,1987,87,5.0,2100,Tom Daley,Warren Chaney,Deborah Winters|James Huston|Andra St. Ivanyi,Horror,2000000,1083395
393,Poltergeist II: The Other Side,1986,91,5.7,30000,Brian Gibson,"Mark Victor, Michael Grais",JoBeth Williams|Craig T. Nelson|Heather O'Rourke,Horror,19000000,40996665
394,Psycho III,1986,93,5.5,17000,Anthony Perkins,"Charles Edward Pogue, Robert Bloch",Anthony Perkins|Diana Scarwid|Jeff Fahey,Horror|Mystery|Thriller,8400000,14481606
395,The Texas Chainsaw Massacre 2,1986,101,5.6,38000,Tobe Hooper,"L.M. Kit Carson, Tobe Hooper",Dennis Hopper|Caroline Williams|Jim Siedow,Comedy|Horror,4500000,8000000
396,Troll,1986,82,4.6,12000,John Carl Buechler,"John Carl Buechler, Ed Naha",Michael Moriarty|Shelley Hack|Noah Hathaway,Comedy|Fantasy|Horror,1100000,5450815
397,Vamp,1986,93,5.9,7000,Richard Wenk,"Donald P. Borchers, Richard Wenk",Chris Makepeace|Sandy Baron|Robert Rusler,Comedy|Fantasy|Horror,3300000,4941117
398,The Wraith,1986,93,5.9,19000,Mike Marvin,Mike Marvin,Charlie Sheen|Nick Cassavetes|Sherilyn Fenn,Action|Horror|Romance,2700000,3500000
399,Angel Heart,1987,113,7.2,96000,Alan Parker,"William Hjortsberg, Alan Parker",Mickey Rourke|Robert De Niro|Lisa Bonet,Horror|Mystery|Thriller,17000000,17185954
400,Creepshow 2,1987,92,6.0,28000,Michael Gornick,"Stephen King, George A. Romero, Lucille Fletcher",George Kennedy|Lois Chiles|Domenick John,Fantasy|Horror,3500000,14000000
401,Evil Dead II,1987,84,7.7,182000,Sam Raimi,"Sam Raimi, Scott Spiegel",Bruce Campbell|Sarah Berry|Dan Hicks,Comedy|Horror,3500000,10900000
402,The Gate,1987,85,6.0,20000,Tibor Takács,Michael Nankin,Stephen Dorff|Christa Denton|Louis Tripp,Fantasy|Horror,2500000,13539458
403,Hellraiser,1987,94,6.9,141000,Clive Barker,Clive Barker,Andrew Robinson|Clare Higgins|Ashley Laurence,Horror|Thriller,1000000,14575193
404,The Hidden,1987,97,7.0,23000,Jack Sholder,Jim Kouf,Kyle MacLachlan|Michael Nouri|Claudia Christian,Horror|Sci-Fi|Thriller,5000000,9747988
405,House II: The Second Story,1987,88,5.4,12000,Ethan Wiley,"Fred Dekker, Ethan Wiley",Arye Gross|Jonathan Stark|Royal Dano,Comedy|Fantasy|Horror,3000000,10000000
406,Jaws: The Revenge,1987,89,3.0,50000,Joseph Sargent,"Peter Benchley, Michael De Guzman",Lorraine Gary|Lance Guest|Mario Van Peebles,Adventure|Horror|Thriller,23000000,51881012
407,The Lost Boys,1987,97,7.2,161000,Joel Schumacher,"Jan Fischer, James Jeremias, Jeffrey Boam",Jason Patric|Corey Haim|Dianne Wiest,Comedy|Horror,8500000,32222567
408,Near Dark,1987,94,6.9,45000,Kathryn Bigelow,"Eric Red, Kathryn Bigelow",Adrian Pasdar|Jenny Wright|Lance Henriksen,Horror,5000000,3400000
409,Night of the Demons,1988,90,6.1,19000,Kevin Tenney,Joe Augustyn,Cathy Podewell|Alvin Alexis|Hal Havins,Comedy|Fantasy|Horror,1200000,3109904
410,A Nightmare on Elm Street 3: Dream Warriors,1987,96,6.6,90000,Chuck Russell,"Wes Craven, Bruce Wagner, Frank Darabont",Heather Langenkamp|Robert Englund|Craig Wasson,Fantasy|Horror,4450000,44793222
411,Predator,1987,107,7.8,455000,John McTiernan,"Jim Thomas, John Thomas",Arnold Schwarzenegger|Carl Weathers|Kevin Peter Hall,Action|Adventure|Horror,15000000,98267558
412,Prince of Darkness,1987,102,6.7,50000,John Carpenter,John Carpenter,Donald Pleasence|Lisa Blount|Jameson Parker,Horror,3000000,14182492
413,"Silent Night, Deadly Night 2",1987,88,3.9,9100,Lee Harry,"Michael Hickey, Paul Caimi, Lee Harry",Eric Freeman|James Newman|Elizabeth Kaitan,Horror|Thriller,250000,154323
414,The Witches of Eastwick,1987,118,6.5,77000,George Miller,"John Updike, Michael Cristofer",Jack Nicholson|Cher|Susan Sarandon,Comedy|Fantasy|Horror,22000000,63766510
415,Bad Dreams,1988,80,5.6,4400,Andrew Fleming,"Andrew Fleming, Michael Dick, P.J. Pettiette",Jennifer Rubin|Bruce Abbott|Richard Lynch,Horror|Thriller,4000000,9797098
416,The Blob,1988,95,6.6,44000,Chuck Russell,"Theodore Simonson, Kay Linaker, Irvine H. Millgate",Shawnee Smith|Kevin Dillon|Donovan Leitch Jr.,Horror|Sci-Fi|Thriller,10000000,8247943
417,Child's Play,1988,87,6.7,117000,Tom Holland,"Don Mancini, John Lafia, Tom Holland",Catherine Hicks|Chris Sarandon|Alex Vincent,Horror|Thriller,9000000,44196684
418,Critters 2,1988,86,5.5,17000,Mick Garris,"David Twohy, Mick Garris",Scott Grimes|Liane Curtis|Terrence Mann,Comedy|Horror|Sci-Fi,4500000,3813293
419,Dead Heat,1988,84,6.1,9200,Mark Goldblatt,Terry Black,Treat Williams|Joe Piscopo|Lindsay Frost,Action|Comedy|Horror,5000000,3588626
420,Dead Ringers,1988,116,7.2,54000,David Cronenberg,"David Cronenberg, Norman Snider, Bari Wood",Jeremy Irons|Geneviève Bujold|Heidi von Palleske,Drama|Horror|Thriller,13000000,8038508
421,Elvira: Mistress of the Dark,1988,96,6.6,21000,James Signorelli,"Sam Egan, John Paragon, Cassandra Peterson",Cassandra Peterson|Phil Rubenstein|Larry Flash Jenkins,Comedy|Horror,7500000,5596267
422,Friday the 13th Part VII: The New Blood,1988,88,5.2,42000,John Carl Buechler,"Daryl Haney, Manuel Fidello, Victor Miller",Terry Kiser|Jennifer Banko|John Otrin,Horror|Thriller,2800000,19170001
423,Halloween 4: The Return of Michael Myers,1988,88,5.8,59000,Dwight H. Little,"Dhani Lipsius, Larry Rattner, Benjamin Ruffner",Donald Pleasence|Ellie Cornell|Danielle Harris,Horror|Thriller,5000000,17768757
424,Hellbound: Hellraiser II,1988,97,6.4,56000,Tony Randel,"Peter Atkins, Clive Barker",Doug Bradley|Ashley Laurence|Clare Higgins,Horror|Thriller,3000000,12090735
425,King Kong,1933,100,7.9,91000,"Merian C. Cooper, Ernest B. Schoedsack","James Ashmore Creelman, Ruth Rose, Merian C. Cooper",Fay Wray|Robert Armstrong|Bruce Cabot,Adventure|Horror,672000,10000000
426,The Son of Kong,1933,70,5.6,5300,Ernest B. Schoedsack,Ruth Rose,Robert Armstrong|Helen Mack|Frank Reicher,Adventure|Family|Horror,250000,616000
427,The Black Cat,1934,65,6.9,13000,Edgar G. Ulmer,"Edgar Allan Poe, Peter Ruric, Edgar G. Ulmer",Boris Karloff|Bela Lugosi|David Manners,Crime|Horror|Romance,95745,236000
428,Bride of Frankenstein,1935,75,7.8,53000,James Whale,"Mary Shelley, William Hurlbut, John L. Balderston",Boris Karloff|Elsa Lanchester|Colin Clive,Drama|Horror|Sci-Fi,393750,2000000
429,Killer Klowns from Outer Space,1988,88,6.2,45000,Stephen Chiodo,"Charles Chiodo, Stephen Chiodo, Edward Chiodo",Grant Cramer|Suzanne Snyder|John Allen Nelson,Comedy|Horror|Sci-Fi,1800000,43625095
430,The Lair of the White Worm,1988,93,6.0,15000,Ken Russell,"Ken Russell, Bram Stoker",Amanda Donohoe|Hugh Grant|Catherine Oxenberg,Comedy|Horror,2500000,1189315
431,Maniac Cop,1988,85,6.0,20000,William Lustig,Larry Cohen,Tom Atkins|Bruce Campbell|Laurene Landon,Action|Crime|Horror,1100000,671382
432,Monkey Shines,1988,113,6.2,13000,George A. Romero,"Michael Stewart, George A. Romero",Jason Beghe|John Pankow|Kate McNeil,Drama|Horror|Sci-Fi,7000000,5344577
433,A Nightmare on Elm Street 4: The Dream Master,1988,93,5.6,62000,Renny Harlin,"Wes Craven, William Kotzwinkle, Brian Helgeland",Robert Englund|Rodney Eastman|John Beckman,Horror,6500000,49369899
